match_key,tour,tournament,year,player,milestone,sim_prob,actual_reached,logged_at
ATP|US Open|2021,ATP,US Open,2021,Nava E.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Kwon S.W.,semifinal,0.006,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Kwon S.W.,final,0.002,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Kwon S.W.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Opelka R.,semifinal,0.049,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Opelka R.,final,0.014,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Opelka R.,champion,0.007,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Khachanov K.,semifinal,0.043,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Khachanov K.,final,0.013,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Khachanov K.,champion,0.005,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Harris L.,semifinal,0.034,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Harris L.,final,0.012,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Harris L.,champion,0.004,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Cuevas P.,semifinal,0.002,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Cuevas P.,final,0.002,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Cuevas P.,champion,0.001,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Escobedo E.,semifinal,0.003,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Escobedo E.,final,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Escobedo E.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Carballes Baena R.,semifinal,0.001,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Carballes Baena R.,final,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Carballes Baena R.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Paul T.,semifinal,0.008,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Paul T.,final,0.003,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Paul T.,champion,0.001,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Delbonis F.,semifinal,0.001,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Delbonis F.,final,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Delbonis F.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Shapovalov D.,semifinal,0.046,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Shapovalov D.,final,0.008,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Shapovalov D.,champion,0.003,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Rublev A.,semifinal,0.333,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Rublev A.,final,0.18,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Rublev A.,champion,0.091,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Karlovic I.,semifinal,0.001,0,2026-08-28T18:37:08.315107+00:00
