tour,round,date,bet_on,opponent,model_prob,market_prob,ev_per_unit,edge_pp,decimal_odds,real_decimal_odds,won,player_hard_matches,opponent_hard_matches,min_hard_matches,event,filtered
WTA,1st Round,2026-09-01,Rybakina E.,Frodin T.,0.9401445028666088,0.9167333867093675,0.025537540681566995,2.341111615724123,1.0908296943231441,1.06,True,194,0,0,US Open,False
WTA,1st Round,2026-09-01,Korneeva A.,Keys M.,0.2952253843464724,0.29515418502202645,0.0002412275619287918,0.007119932444593635,3.388059701492537,3.25,False,18,129,18,US Open,False
WTA,1st Round,2026-09-01,Zakharova A.,Osaka N.,0.1548748948612535,0.12189616252821672,0.2705477485839869,3.2978732333036778,8.203703703703702,9.0,False,43,81,43,US Open,False
WTA,1st Round,2026-09-01,Swiatek I.,Wang Xiy.,0.9132832799708678,0.8991354466858789,0.015734929967599953,1.414783328498892,1.1121794871794872,1.06,True,203,87,87,US Open,False
WTA,1st Round,2026-09-01,Sakkari M.,Montgomery R.,0.7002502174628275,0.5933503836317136,0.18016308201709275,10.68998338311139,1.6853448275862069,1.6,True,155,19,19,US Open,False
WTA,2nd Round,2026-09-02,Preston T.,Townsend T.,0.3046156428873632,0.23518164435946462,0.2952356197568371,6.943399852789859,4.252032520325203,4.33,False,13,67,13,US Open,False
WTA,2nd Round,2026-09-02,Birrell K.,Alexandrova E.,0.31516420048354565,0.2293233082706767,0.37432257915775646,8.584089221286895,4.360655737704918,4.33,False,69,162,69,US Open,False
WTA,2nd Round,2026-09-02,Kalinskaya A.,Wang Xin.,0.6816860635525415,0.653012048192771,0.04391039252510964,2.8674015359770433,1.5313653136531367,1.45,True,131,148,131,US Open,False
WTA,2nd Round,2026-09-02,Boulter K.,Muchova K.,0.16542327993903605,0.15977175463623397,0.035372493189859355,0.565152530280208,6.25892857142857,6.5,False,83,110,83,US Open,False
WTA,2nd Round,2026-09-02,Selekhmeteva O.,Rakhimova K.,0.508931871958969,0.37376237623762376,0.3616455382213477,13.516949572134529,2.6754966887417218,2.63,False,19,74,19,US Open,False
WTA,2nd Round,2026-09-02,Kostyuk M.,Stephens S.,0.9006866038110144,0.851006711409396,0.05837779154448852,4.967989240161841,1.1750788643533123,1.13,True,152,90,90,US Open,False
WTA,2nd Round,2026-09-02,McNally C.,Navarro E.,0.4977433126386315,0.4514435695538058,0.10255931462394519,4.629974308482565,2.2151162790697674,2.25,False,35,107,35,US Open,False
WTA,2nd Round,2026-09-02,Pegula J.,Kenin S.,0.9122572518387573,0.8971871968962172,0.01679700177919874,1.50700549425401,1.1145945945945948,1.06,True,219,120,120,US Open,False
WTA,2nd Round,2026-09-02,Paolini J.,Stefanini L.,0.7796053751915928,0.6713615023474179,0.16123038402663825,10.824387284417492,1.4895104895104894,1.42,True,153,24,24,US Open,False
WTA,1st Round,2026-09-02,Frech M.,Jovic I.,0.38082713090105713,0.26652892561983477,0.4288397779543536,11.429820528122237,3.751937984496123,3.75,False,118,47,47,US Open,True
WTA,2nd Round,2026-09-02,Sawangkaew M.,Fernandez L.,0.6150052595954352,0.3047404063205418,1.0181283703761315,31.02648532748934,3.281481481481481,3.2,False,14,1,1,US Open,False
WTA,2nd Round,2026-09-02,Parry D.,Cirstea S.,0.369335454627996,0.3,0.23111818209332013,6.933545462799601,3.3333333333333335,3.25,False,72,144,72,US Open,False
WTA,1st Round,2026-09-02,Eala A.,Stoiana M.,0.7968320662667542,0.7837837837837838,0.01664780868516913,1.3048282482970408,1.2758620689655173,1.22,True,51,3,3,US Open,False
WTA,1st Round,2026-09-02,Badosa P.,Kasatkina D.,0.6818242388515189,0.5291005291005291,0.2886478114293707,15.272370975098982,1.8900000000000001,1.8,True,113,156,113,US Open,True
WTA,1st Round,2026-09-02,Sherif M.,Bartunkova N.,0.24315429512054643,0.19865319865319864,0.22401399408139477,4.450109646734779,5.033898305084747,5.0,False,47,27,27,US Open,False
WTA,1st Round,2026-09-02,Sonmez Z.,Gauff C.,0.09841377373807125,0.0831315577078289,0.18383170545116778,1.5282216030242353,12.029126213592232,13.0,False,46,197,46,US Open,False
WTA,1st Round,2026-09-02,Ostapenko J.,Maria T.,0.7098763403093442,0.5803108808290156,0.22326905071163772,12.956545948032861,1.7232142857142856,1.67,False,148,93,93,US Open,True
WTA,2nd Round,2026-09-02,Pliskova Ka.,Shnaider D.,0.392413554846362,0.2421875,0.6202882264623979,15.022605484636198,4.129032258064516,4.33,False,90,108,90,US Open,True
WTA,1st Round,2026-09-02,Linette M.,Jones F.,0.6037905601280356,0.5132275132275131,0.1764578955072036,9.056304690052242,1.948453608247423,1.91,False,138,12,12,US Open,False
WTA,2nd Round,2026-09-03,Sakkari M.,Starodubtseva Y.,0.7289389352475848,0.6390243902439025,0.14070596737217467,8.991454500368235,1.5648854961832062,1.5,False,155,35,35,US Open,False
WTA,2nd Round,2026-09-03,Lys E.,Andreeva M.,0.2495457137255972,0.11732456140350878,1.1269690739976133,13.222115232208843,8.523364485981308,9.5,False,48,93,48,US Open,True
WTA,2nd Round,2026-09-03,Zheng Q.,Putintseva Y.,0.7549831168849892,0.6782407407407407,0.11314916892257809,7.67423761442485,1.4744027303754268,1.42,True,126,126,126,US Open,False
WTA,2nd Round,2026-09-03,Sakatsume H.,Bucsa C.,0.43713397126522846,0.3703703703703704,0.1802617224161167,6.676360089485805,2.6999999999999997,2.63,False,10,91,10,US Open,False
WTA,2nd Round,2026-09-03,Oliynykova O.,Eala A.,0.2851358247102058,0.141025641025641,1.02187221158146,14.411018368456482,7.090909090909093,7.0,False,10,51,10,US Open,False
WTA,2nd Round,2026-09-03,Maria T.,Bartunkova N.,0.32549714262222373,0.32101616628175517,0.0139587248591575,0.44809763404685676,3.115107913669065,3.1,False,93,27,27,US Open,False
WTA,2nd Round,2026-09-03,Dart H.,Bouzkova M.,0.2148244516326746,0.1873990306946688,0.1463477203502208,2.742542093800582,5.336206896551725,5.25,False,44,142,44,US Open,False
WTA,2nd Round,2026-09-03,Tagger L.,Anisimova A.,0.2087649459905112,0.1918032786885246,0.0884326243949729,1.6961667301986616,5.213675213675214,5.5,False,18,113,18,US Open,False
WTA,2nd Round,2026-09-03,Podoroska N.,Swiatek I.,0.0612040248122786,0.054565099945975144,0.12166980126265048,0.6638924866303457,18.32673267326733,34.0,False,44,203,44,US Open,False
WTA,2nd Round,2026-09-03,Bondar A.,Keys M.,0.20536506223009654,0.14839572192513373,0.38390150043344295,5.696934030496282,6.738738738738737,7.0,False,67,129,67,US Open,False
WTA,2nd Round,2026-09-03,Potapova A.,Jeanjean L.,0.8536345570463735,0.7582846003898636,0.12574428731308385,9.534995665650992,1.3187660668380463,1.25,True,134,17,17,US Open,False
WTA,2nd Round,2026-09-03,Mertens E.,Timofeeva M.,0.7297603544951027,0.726890756302521,0.003947770923898419,0.28695981925817016,1.3757225433526012,1.3,True,161,13,13,US Open,False
WTA,2nd Round,2026-09-03,Noskova L.,Tararudee L.,0.8083912943810637,0.7904929577464789,0.022641993782726466,1.7898336634584844,1.265033407572383,1.2,True,116,13,13,US Open,False
WTA,2nd Round,2026-09-03,Joint M.,Svitolina E.,0.1407990520776572,0.13625,0.0333875381846398,0.4549052077657184,7.339449541284403,7.5,False,56,109,56,US Open,False
WTA,2nd Round,2026-09-03,Vekic D.,Li A.,0.4498285649692866,0.39795918367346944,0.13033844530743788,5.186938129581714,2.5128205128205123,2.38,False,105,101,101,US Open,False
WTA,2nd Round,2026-09-03,Sabalenka A.,Iatcenko P.,0.9730332759626135,0.9297520661157025,0.046551345702010805,4.328120984691097,1.0755555555555556,1.03,True,213,2,2,US Open,False
