player,hard_elo,clay_elo,grass_elo,hard_elo_undamped,clay_elo_undamped,grass_elo_undamped,overall_elo,hard_matches,clay_matches,grass_matches,current_rank,days_since_last_match,recent_form_residual
Niemeier J.,1452.3899730625885,1450.7752191236782,1498.8810004796385,1452.3899730625885,1450.7752191236782,1498.8810004796385,1473.025738898798,35,33,20,566,12,-0.24639498102735563
Lao D.,1479.6838362603369,1473.0147474047271,1477.0110561152476,1479.6838362603369,1473.0147474047271,1477.0110561152476,1473.0147474047271,7,0,3,239,1861,-0.2520632287641553
Jimenez V.,1481.1798794075567,1474.8146331904125,1472.940559728753,1481.1798794075567,1474.8146331904125,1472.940559728753,1472.940559728753,5,2,0,175,1194,
Mattek-Sands B.,1476.020216662153,1489.7413014833464,1490.2712914827348,1476.020216662153,1489.7413014833464,1490.2712914827348,1472.8564702640217,133,67,12,363,1803,-0.06207631418542525
Di Sarra F.,1472.830944534826,1472.9249181985501,1472.830944534826,1472.830944534826,1472.9249181985501,1472.830944534826,1472.830944534826,0,2,0,530,815,
Kozlova K.,1465.2490644867817,1495.1359577623357,1483.6946947213605,1465.2490644867817,1495.1359577623357,1483.6946947213605,1472.8165382303216,94,37,10,145,1728,0.01965885816487356
Kalieva E.,1488.1140222172917,1459.198542996753,1472.8086190579631,1488.1140222172917,1459.198542996753,1472.8086190579631,1472.8086190579631,10,4,0,132,1,0.09958271445071953
Barry M.,1471.8429879555288,1472.7751571581712,1472.7751571581712,1471.8429879555288,1472.7751571581712,1472.7751571581712,1472.7751571581712,2,0,0,726,208,
Cross K.,1471.3325840603443,1472.6565823057936,1472.6565823057936,1471.3325840603443,1472.6565823057936,1472.6565823057936,1472.6565823057936,2,0,0,262,370,
Dulgheru A.,1489.8955061317001,1480.2141878348843,1490.366782954332,1489.8955061317001,1480.2141878348843,1490.366782954332,1472.6303273925453,88,72,15,372,1840,-0.06298161151246301
Ku Y.,1470.7995458711227,1472.5107053538225,1472.5107053538225,1470.7995458711227,1472.5107053538225,1472.5107053538225,1472.5107053538225,2,0,0,305,321,
Hsieh S.W.,1507.3384092022523,1459.6140506730162,1483.8864326469472,1507.3384092022523,1459.6140506730162,1483.8864326469472,1472.487649827046,205,57,42,23,1168,-0.15194591554252307
Mitu A.,1474.4020368101094,1490.5037796319061,1479.932877274996,1474.4020368101094,1490.5037796319061,1479.932877274996,1472.4435974419553,10,21,3,216,908,-0.13973555495529394
Costoulas S.,1478.7358439060297,1473.847284119433,1472.396896136495,1478.7358439060297,1473.847284119433,1472.396896136495,1472.396896136495,5,1,0,155,13,
