match_key,tour,tournament,year,player,corrections,depth,round_label,sim_prob,actual_reached,logged_at
ATP|US Open|2021|on,ATP,US Open,2021,Pospisil V.,on,2,Semifinal,0.012,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Pospisil V.,on,3,Quarterfinal,0.032,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Pospisil V.,on,4,Round of 16,0.1,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Pospisil V.,on,5,Round of 32,0.19,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Pospisil V.,on,6,Round of 64,0.402,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Sandgren T.,on,0,Champion,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Sandgren T.,on,1,Final,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Sandgren T.,on,2,Semifinal,0.002,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Sandgren T.,on,3,Quarterfinal,0.006,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Sandgren T.,on,4,Round of 16,0.03,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Sandgren T.,on,5,Round of 32,0.106,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Sandgren T.,on,6,Round of 64,0.276,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Ivashka I.,on,0,Champion,0.002,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Ivashka I.,on,1,Final,0.01,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Ivashka I.,on,2,Semifinal,0.036,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Ivashka I.,on,3,Quarterfinal,0.102,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Ivashka I.,on,4,Round of 16,0.226,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Ivashka I.,on,5,Round of 32,0.422,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Ivashka I.,on,6,Round of 64,0.724,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Moutet C.,on,0,Champion,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Moutet C.,on,1,Final,0.002,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Moutet C.,on,2,Semifinal,0.008,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Moutet C.,on,3,Quarterfinal,0.04,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Moutet C.,on,4,Round of 16,0.104,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Moutet C.,on,5,Round of 32,0.25,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Moutet C.,on,6,Round of 64,0.656,1,2026-08-28T21:54:44.184749+00:00
