player,hard_elo,clay_elo,grass_elo,overall_elo,hard_matches,clay_matches,grass_matches,current_rank
Basic M.,1481.12651839678,1484.9859038536422,1480.708655778237,1480.708655778237,1,2,0,292
Robredo T.,1480.5699761991336,1480.7254873862655,1480.5699761991336,1480.5699761991336,0,1,0,362
Krumich M.,1480.501628569858,1480.7470251246832,1480.501628569858,1480.501628569858,0,1,0,278
Guillen Meza A.,1480.4074686467216,1480.3897290498455,1480.4074686467216,1480.4074686467216,0,1,0,244
Herbert P.H.,1492.4038865736388,1479.7810838426758,1480.700817482679,1480.3672448017214,14,2,1,127
Bonadio R.,1480.1552687260762,1480.2559035174643,1480.1552687260762,1480.1552687260762,0,3,0,181
McCabe J.,1480.6179539180798,1480.1348044778056,1480.8082618842573,1480.1348044778056,1,0,3,233
Muller A.,1493.941785790801,1497.4043095114098,1471.9968433807592,1480.1008871269316,66,51,8,133
Djuric B.,1480.0721773565983,1479.9885200425372,1479.9885200425372,1479.9885200425372,1,0,0,781
Gaubas V.,1479.914953393258,1482.2160890561217,1480.4255842191008,1479.914953393258,0,14,1,128
Kouame M.,1476.9691443729655,1483.1064206848937,1479.799180410179,1479.799180410179,4,5,0,213
Uchida K.,1479.1961456893796,1479.7816841202073,1479.7816841202073,1479.7816841202073,4,0,0,155
Blanch D.,1480.3120000246938,1480.8228080290621,1479.6190832502828,1479.6190832502828,1,1,0,622
Kolar Z.,1479.5725281586272,1482.666501259201,1480.2812922080634,1479.5725281586272,0,3,1,153
Jianu F.C.,1479.4571997673452,1481.6154032827108,1479.4571997673452,1479.4571997673452,0,3,0,246
Blanch Dar.,1477.0492178628624,1479.039731375695,1479.039731375695,1479.039731375695,6,0,0,226
Mcdonald M.,1511.995810932684,1416.998173250265,1502.0119083259183,1478.8263562702043,99,15,24,140
Kachmazov A.,1476.112200882414,1478.825459060173,1478.825459060173,1478.825459060173,10,0,0,183
Pavlovic L.,1479.452715837197,1479.608751120445,1478.5519749404368,1478.5519749404368,1,1,0,241
Valkusz M.,1477.7349524396939,1478.2864104331454,1478.2864104331454,1478.2864104331454,3,0,0,214
Jasika O.,1477.4593622313203,1477.9006656656575,1477.9006656656575,1477.9006656656575,2,0,0,179
Sock J.,1485.4906177789117,1475.3502147842203,1492.7790943417515,1477.7788650900573,18,2,5,166
Del Potro J.M.,1477.6820918124474,1478.3797919867013,1477.6820918124474,1477.6820918124474,0,1,0,753
Mena F.,1478.1592054020387,1477.6223878877036,1477.6223878877036,1477.6223878877036,1,0,0,151
Andreozzi G.,1478.92512815308,1480.0067893728856,1477.3465287063275,1477.3465287063275,1,3,0,406
Trotter J.K.,1476.3271428570233,1477.1432343550048,1477.1432343550048,1477.1432343550048,2,0,0,213
Pospisil V.,1472.8013302446732,1477.1029445030779,1477.1029445030779,1477.1029445030779,15,0,0,1250
Moro Canas A.,1477.7814551966314,1482.8494301328628,1477.726950757233,1476.9314297497065,1,2,1,169
Virtanen O.,1461.2541999592977,1469.9012436673436,1490.2821662653132,1476.309819338986,11,8,6,140
Hernandez A.,1476.4686547950869,1476.2489613119992,1476.2489613119992,1476.2489613119992,6,0,0,498
Diaz Acosta F.,1473.383722242385,1493.32197275607,1477.125298473222,1476.000657562259,15,35,1,108
Guinard M.,1471.854092487305,1481.2462638390239,1475.108583548845,1475.108583548845,7,5,0,280
Gill F.,1474.9477395094057,1474.9477395094057,1473.2771677454293,1474.9477395094057,0,0,2,220
Molleker R.,1474.6909364851183,1472.5225806872595,1474.6909364851183,1474.6909364851183,0,4,0,197
Kuzmanov D.,1468.4051359470186,1478.722665854582,1473.507352378757,1473.507352378757,4,1,0,189
Martineau M.,1475.0145338252582,1473.4728268942056,1474.7222875037676,1473.4728268942056,1,0,1,179
