player,hard_elo,clay_elo,grass_elo,overall_elo,hard_matches,clay_matches,grass_matches,current_rank,days_since_last_match,recent_form_residual
Malygina E.,1481.9281987955642,1479.7754481352515,1487.7754481352515,1475.550896270503,,,,590.0,1196.0,
Mandlik E.,1386.2539510293675,1416.4201079024804,1440.184642424691,1377.3766382843846,,,,174.0,153.0,-0.44270507935648495
Mansouri Y.,1464.9240115070156,1482.8840946825271,1482.8840946825271,1465.768189365054,,,,380.0,355.0,
Marcinko P.,1455.244114093396,1525.544484920079,1516.2858459775903,1506.7903001854643,,,,73.0,6.0,0.004544818277247842
Maria T.,1451.5545921451758,1507.3031379529593,1564.3915831906052,1542.7627412633813,,,,80.0,15.0,0.10228240726056864
Marino R.,1376.5887743570888,1418.5788141400176,1417.9100233722245,1381.3160395672387,,,,339.0,26.0,0.0043281683416616645
Maristany G.,1476.3661351422938,1477.4982557269004,1484.78836887323,1469.5767377464601,,,,178.0,150.0,
Martic P.,1475.7667083985436,1508.371878606961,1486.0410369976698,1478.3661607266934,,,,138.0,426.0,-0.10564641924983109
Martincova T.,1413.0635371518065,1400.5278075247481,1421.9408796382413,1390.7387688613942,,,,250.0,103.0,-0.014774200684982697
Martinez Cirez C.,1479.492063495735,1455.6365923683566,1479.492063495735,1458.98412699147,,,,352.0,130.0,
Masarova R.,1532.0571887818803,1535.7178852402542,1507.0564392997971,1554.7438291103695,,,,166.0,47.0,-0.10228742604764973
Mateas M.,1487.5262264317594,1499.8888883643895,1495.9719602971873,1491.9439205943743,,,,243.0,465.0,
Matoula M.,1466.685580372584,1483.278104426377,1483.278104426377,1466.5562088527543,,,,301.0,48.0,
Mboko V.,1826.3874610227567,1699.0620924107834,1663.0349741601967,1826.7485931794822,,,,9.0,92.0,-0.11545767373342564
McNally C.,1603.3633789833602,1595.7297732187435,1600.8654420683247,1652.059295991729,,,,70.0,15.0,0.1177682397646263
Mchale C.,1493.08592663015,1493.08592663015,1485.0689725650655,1486.1718532603,,,,261.0,1524.0,-0.1695340979333522
Mcnally C.,1460.6709019679865,1471.9287060846805,1471.4802213710345,1459.7207529016598,,,,540.0,593.0,-0.17635228722828755
Mediorreal A.V.,1481.4802209596055,1464.8508326561482,1481.4802209596055,1462.9604419192108,,,,753.0,153.0,
Melnikova M.,1477.9203088925337,1477.55978329435,1485.927936691111,1471.8558733822217,,,,440.0,915.0,-0.2117152486915053
