player,hard_elo,clay_elo,grass_elo,overall_elo,hard_matches,clay_matches,grass_matches
Khachanov K.,1596.1516538349763,1611.0784238633173,1559.0110870093013,1614.216043771305,177,70,24
Bergs Z.,1565.6110925616206,1449.9445106272865,1531.142388815213,1610.0042925908815,69,28,20
Tirante T.A.,1498.7671253082626,1599.6913243586325,1606.024188830912,1606.024188830912,10,35,1
Norrie C.,1614.1176028495693,1612.8164824229714,1532.5358440396856,1605.1785638879073,165,77,28
Thompson J.,1597.4687807078803,1429.446807414756,1572.038097471753,1602.6167285820459,113,21,31
Bonzi B.,1553.3893845400974,1489.463439419917,1497.0916867228436,1599.5983265497446,87,16,21
Marozsan F.,1589.3022452710807,1532.214487310375,1492.415369810413,1599.4272601664468,85,41,20
Nishikori K.,1565.9216585609404,1598.8895973907677,1598.8895973907677,1598.8895973907677,37,5,1
Struff J.L.,1462.226381877112,1542.6449828240711,1602.1864906585329,1598.2385910458315,83,51,33
Buse I.,1598.2039089614327,1594.0765684946855,1598.2039089614327,1598.2039089614327,2,26,6
Navone M.,1381.466423296327,1641.9018780973888,1597.8489182751807,1597.8489182751807,33,69,7
Hanfmann Y.,1550.6349446793506,1581.9489863118893,1482.7150609081525,1597.0848893153332,44,85,21
Borges N.,1535.1589361628298,1560.736327693477,1500.024826849263,1596.047323639517,95,50,23
Munar J.,1614.1464758800255,1500.3582422468405,1482.253681128382,1595.7646446299032,88,86,18
Fery A.,1594.282066161809,1594.282066161809,1566.845723090447,1594.282066161809,4,0,15
Cilic M.,1602.3521030565312,1484.0890151596184,1540.3780965303617,1593.7240904542218,90,25,13
Tsitsipas S.,1615.3694599323305,1655.3441692350116,1535.023571210931,1591.3718213724044,166,88,28
Raonic M.,1589.2328539680339,1589.2328539680339,1589.2328539680339,1589.2328539680339,8,0,7
Etcheverry T.,1580.4942191232994,1600.9121342314334,1397.7524377139503,1587.7103958166874,85,105,17
Collignon R.,1572.7365417833712,1586.007928749029,1586.007928749029,1586.007928749029,18,9,6
Medjedovic H.,1530.63958491167,1560.449324982989,1585.7517882084242,1585.7517882084242,36,35,9
Prizmic D.,1581.331541222008,1564.5005926517163,1581.331541222008,1581.331541222008,9,21,2
Shang J.,1556.2818320239842,1581.2070015271988,1581.2070015271988,1581.2070015271988,64,6,5
Tabilo A.,1551.397216896443,1573.7565506907902,1510.2089693239482,1579.1309806944273,66,67,15
Molcan A.,1493.6125115853874,1596.296455169009,1474.4445586110246,1576.088862113454,31,47,10
Van De Zandschulp B.,1558.265692609515,1552.7300302021877,1477.5746096791293,1573.8910927882782,132,56,24
Spizzirri E.,1564.932462957901,1569.6426979681246,1569.6426979681246,1569.6426979681246,18,1,2
Fucsovics M.,1555.547196758077,1510.9207996770701,1551.64683253807,1564.2144126897597,97,42,22
Cazaux A.,1507.4194186978086,1548.4093100567818,1562.8403047372085,1562.8403047372085,41,13,5
Opelka R.,1599.0812762986943,1459.9921482732918,1527.8435539337079,1561.6049765968576,93,19,18
Kopriva V.,1476.1373453079486,1556.078840694213,1560.381440823619,1560.381440823619,16,42,7
Brooksby J.,1561.0437423493192,1488.5795182380934,1553.443964974271,1558.796378423862,85,18,28
Sonego L.,1570.5622959978714,1432.0396524563228,1527.435348007987,1557.1698566884054,140,62,36
Ruusuvuori E.,1566.2421283832539,1458.9397458977653,1504.834531102046,1556.0280066593418,103,32,20
Wu Y.,1604.2757654926456,1468.0059542103957,1552.4935890979277,1552.4935890979277,37,11,7
Carreno Busta P.,1537.8863778092657,1527.5447051530066,1552.0594644775965,1552.0594644775965,80,37,6
Altmaier D.,1464.2096189161252,1484.580664654869,1476.9628564612415,1552.0495593581545,82,76,21
Nishioka Y.,1537.6709711994774,1480.2489498794016,1551.8724655921023,1551.8724655921023,108,18,9
Diallo G.,1527.768044956359,1514.0258260194423,1529.8828967597476,1551.3949640424114,52,14,20
Shapovalov D.,1639.8369584120614,1467.7153964480372,1470.7492897089603,1551.2595404210003,143,39,24
Arnaldi M.,1484.4188031731908,1623.225594273858,1549.0501580378234,1549.0501580378234,77,52,8
Monfils G.,1628.1748136895762,1469.127778039665,1515.483838812516,1548.0225476969513,118,23,11
Gigante M.,1545.176258952185,1545.176258952185,1545.176258952185,1545.176258952185,5,7,0
De Jong J.,1469.6248141433355,1568.2075636717097,1544.9480566270279,1544.9480566270279,17,27,7
Quinn E.,1486.2106001342038,1439.358386298374,1545.2517329652153,1541.9313524368824,33,14,17
Simon G.,1513.9884720700522,1540.828608793123,1540.828608793123,1540.828608793123,14,4,2
Ugo Carabelli C.,1458.3990698217538,1550.6411931340742,1538.9095997192046,1538.9095997192046,21,54,3
Safiullin R.,1533.9566688138623,1418.8492878372454,1515.588496187175,1536.4969001954703,79,19,22
