player,tour,status,hand,backhand,wikipedia_title,raw_plays,height_cm,height_status,birth_year,birth_year_status
Diez S.,ATP,resolved,Right-handed,two-handed,Steven Diez,Right-handed (two-handed backhand),175.0,resolved,1991,resolved
Dimitrov G.,ATP,resolved,Right-handed,one-handed,Grigor Dimitrov,Right (one-handed backhand),191.0,resolved,1991,resolved
Djere L.,ATP,resolved,Right-handed,two-handed,Laslo Djere,Right-handed <br />(two handed-backhand),188.0,resolved,1995,resolved
Djokovic N.,ATP,resolved,Right-handed,two-handed,Novak Djokovic,Right-handed (two-handed backhand),188.0,resolved,1987,resolved
Djuric B.,ATP,unresolved_name,,,,,,,,
Dodig M.,ATP,resolved,Right-handed,two-handed,Matej Dodig,Right-handed (two-handed backhand),188.0,resolved,2005,resolved
Donskoy E.,ATP,resolved,Right-handed,two-handed,Evgeny Donskoy,Right-handed (two-handed backhand),185.0,resolved,1990,resolved
Dostanic S.,ATP,resolved,Right-handed,two-handed,Stefan Dostanic,Right-handed (two-handed backhand),188.0,resolved,2001,resolved
Dougaz A.,ATP,resolved,Left-handed,two-handed,Aziz Dougaz,Left-handed (two handed-backhand),188.0,resolved,1997,resolved
Draper J.,ATP,resolved,Left-handed,two-handed,Jack Draper,Left-handed (two-handed backhand),193.0,resolved,2001,resolved
Draxl L.,ATP,resolved,Right-handed,two-handed,Liam Draxl,Right-handed (two-handed backhand),185.0,resolved,2001,resolved
Droguet T.,ATP,resolved,Right-handed,two-handed,Titouan Droguet,Right-handed (two-handed backhand),191.0,resolved,2001,resolved
Duckworth J.,ATP,resolved,Right-handed,two-handed,James Duckworth (tennis),Right-handed (two-handed backhand),183.0,resolved,1992,resolved
Durasovic V.,ATP,resolved,Right-handed,two-handed,Viktor Durasovic,Right-handed (two handed-backhand),185.0,resolved,1997,resolved
Dutra Da Silva D.,ATP,resolved,Left-handed,two-handed,Daniel Dutra da Silva,Left-handed (two-handed backhand),175.0,resolved,1988,resolved
Dzumhur D.,ATP,resolved,Right-handed,two-handed,Damir Džumhur,Right-handed (two-handed backhand),175.0,resolved,1992,resolved
Ebden M.,ATP,resolved,Right-handed,two-handed,Matthew Ebden,Right-handed (two-handed backhand),188.0,resolved,1987,resolved
Echargui M.,ATP,resolved,Right-handed,two-handed,Moez Echargui,Right-handed (two-handed backhand),178.0,resolved,1993,resolved
Edmund K.,ATP,resolved,Right-handed,two-handed,Kyle Edmund,Right-handed (two-handed backhand),188.0,resolved,1995,resolved
Engel J.,ATP,resolved,Right-handed,two-handed,Justin Engel,Right-handed (two-handed backhand),188.0,resolved,2007,resolved
Escobedo E.,ATP,resolved,Right-handed,two-handed,Ernesto Escobedo,Right-handed (two-handed backhand),185.0,resolved,1996,resolved
Escoffier A.,ATP,resolved,Right-handed,two-handed,Antoine Escoffier,Right-handed (two-handed backhand),185.0,resolved,1992,resolved
Etcheverry T.,ATP,resolved,Right-handed,two-handed,Tomás Martín Etcheverry,Right-handed (two-handed backhand),196.0,resolved,1999,resolved
Etcheverry T. M.,ATP,resolved,Right-handed,two-handed,Tomás Martín Etcheverry,Right-handed (two-handed backhand),196.0,resolved,1999,resolved
Eubanks C.,ATP,resolved,Right-handed,one-handed,Christopher Eubanks,Right-handed (one-handed backhand),200.7,resolved,1996,resolved
Evans D.,ATP,resolved,Right-handed,one-handed,Dan Evans (tennis),Right-handed (one-handed backhand)<ref>{{cite web | url=https://www.lta.org.uk/fan-zone/british-tennis-players/dan-evans/ | title=Dan Evans Tennis Player Profile }}</ref>,175.0,resolved,1990,resolved
Fabbiano T.,ATP,resolved,Right-handed,two-handed,Thomas Fabbiano,Right-handed (two handed backhand),173.0,resolved,1989,resolved
Fanselow S.,ATP,hand_only_no_backhand,Right-handed,,Sebastian Fanselow,Right-handed,,missing_height_field,1991,resolved
