WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
13,Indian Wells,BNP Paribas Open,09/03/2026,WTA1000,Outdoor,Hard,3rd Round,3,Eala A.,Gauff C.,32,4,1432,6803,6,2,2,0,,,1,0,Retired,5,1.17,,,5,1.2,4.66,1.18,5.5,1.21
13,Indian Wells,BNP Paribas Open,09/03/2026,WTA1000,Outdoor,Hard,3rd Round,3,Mboko V.,Kalinskaya A.,10,22,3211,1813,6,4,6,1,,,2,0,Completed,1.57,2.38,,,1.58,2.6,1.55,2.4,1.64,2.56
13,Indian Wells,BNP Paribas Open,09/03/2026,WTA1000,Outdoor,Hard,3rd Round,3,Pegula J.,Ostapenko J.,5,26,6583,1600,4,6,6,3,6,2,2,1,Completed,1.2,4.5,,,1.22,4.5,1.21,4.27,1.22,5.4
13,Indian Wells,BNP Paribas Open,09/03/2026,WTA1000,Outdoor,Hard,3rd Round,3,Muchova K.,Ruzic A.,13,57,2668,1075,6,0,6,3,,,2,0,Completed,1.13,6,,,1.17,7,1.14,5.61,1.17,6.4
13,Indian Wells,BNP Paribas Open,09/03/2026,WTA1000,Outdoor,Hard,3rd Round,3,Siniakova K.,Andreeva M.,44,8,1269,4001,4,6,7,6,6,3,2,1,Completed,5,1.17,,,5.25,1.18,4.86,1.17,5.9,1.2
13,Indian Wells,BNP Paribas Open,09/03/2026,WTA1000,Outdoor,Hard,3rd Round,3,Bencic B.,Mertens E.,12,21,2898,1936,6,2,6,3,,,2,0,Completed,1.8,2,,,1.83,2.06,1.78,1.99,1.88,2.12
13,Indian Wells,BNP Paribas Open,09/03/2026,WTA1000,Outdoor,Hard,3rd Round,3,Svitolina E.,Krueger A.,9,82,3845,849,6,4,6,2,,,2,0,Completed,1.22,4.33,,,1.29,4.33,1.26,3.8,1.27,4.5
13,Indian Wells,BNP Paribas Open,09/03/2026,WTA1000,Outdoor,Hard,3rd Round,3,Swiatek I.,Sakkari M.,2,34,7588,1410,6,3,6,2,,,2,0,Completed,1.2,4.5,,,1.23,4.5,1.21,4.26,1.22,5.2
13,Indian Wells,BNP Paribas Open,10/03/2026,WTA1000,Outdoor,Hard,3rd Round,3,Kartal S.,Keys M.,54,15,1127,2351,2,6,6,2,6,3,2,1,Completed,2.63,1.5,,,2.75,1.5,2.63,1.47,2.8,1.54
13,Indian Wells,BNP Paribas Open,10/03/2026,WTA1000,Outdoor,Hard,3rd Round,3,Rybakina E.,Kostyuk M.,3,28,7253,1583,6,4,6,4,,,2,0,Completed,1.29,3.75,,,1.3,3.75,1.29,3.57,1.33,3.9
13,Indian Wells,BNP Paribas Open,10/03/2026,WTA1000,Outdoor,Hard,4th Round,3,Sabalenka A.,Osaka N.,1,16,10675,2324,6,2,6,4,,,2,0,Completed,1.17,5,,,1.18,5.5,1.16,5.06,1.18,6.2
13,Indian Wells,BNP Paribas Open,10/03/2026,WTA1000,Outdoor,Hard,4th Round,3,Gibson T.,Paolini J.,112,7,721,4232,7,5,2,6,6,1,2,1,Completed,2.75,1.44,,,3.3,1.45,2.93,1.39,3.4,1.41
13,Indian Wells,BNP Paribas Open,11/03/2026,WTA1000,Outdoor,Hard,4th Round,3,Mboko V.,Anisimova A.,10,6,3211,6070,6,4,6,1,,,2,0,Completed,2.38,1.57,,,2.38,1.65,2.29,1.59,2.46,1.67
13,Indian Wells,BNP Paribas Open,11/03/2026,WTA1000,Outdoor,Hard,4th Round,3,Noskova L.,Eala A.,14,32,2421,1432,6,2,6,0,,,2,0,Completed,1.57,2.38,,,1.58,2.6,1.54,2.4,1.65,2.5
13,Indian Wells,BNP Paribas Open,11/03/2026,WTA1000,Outdoor,Hard,4th Round,3,Swiatek I.,Muchova K.,2,13,7588,2668,6,2,6,0,,,2,0,Completed,1.5,2.63,,,1.5,2.75,1.47,2.64,1.5,2.96
13,Indian Wells,BNP Paribas Open,11/03/2026,WTA1000,Outdoor,Hard,4th Round,3,Pegula J.,Bencic B.,5,12,6583,2898,6,3,7,6,,,2,0,Completed,1.53,2.5,,,1.6,2.5,1.56,2.37,1.63,2.54
13,Indian Wells,BNP Paribas Open,11/03/2026,WTA1000,Outdoor,Hard,4th Round,3,Svitolina E.,Siniakova K.,9,44,3845,1269,6,1,1,1,,,1,0,Retired,1.29,3.75,,,1.3,4,1.29,3.6,1.31,4.1
13,Indian Wells,BNP Paribas Open,11/03/2026,WTA1000,Outdoor,Hard,4th Round,3,Rybakina E.,Kartal S.,3,54,7253,1127,6,4,4,3,,,1,0,Retired,1.14,5.5,,,1.17,5.75,1.15,5.15,1.21,5.6
13,Indian Wells,BNP Paribas Open,12/03/2026,WTA1000,Outdoor,Hard,Quarterfinals,3,Sabalenka A.,Mboko V.,1,10,10675,3211,7,6,6,4,,,2,0,Completed,1.29,3.75,,,1.3,3.75,1.29,3.56,1.31,4.1
13,Indian Wells,BNP Paribas Open,12/03/2026,WTA1000,Outdoor,Hard,Quarterfinals,3,Noskova L.,Gibson T.,14,112,2421,721,6,2,4,6,6,2,2,1,Completed,1.29,3.75,,,1.3,3.75,1.28,3.61,1.33,3.9
13,Indian Wells,BNP Paribas Open,12/03/2026,WTA1000,Outdoor,Hard,Quarterfinals,3,Svitolina E.,Swiatek I.,9,2,3845,7588,6,2,4,6,6,4,2,1,Completed,3.75,1.29,,,4,1.32,3.56,1.29,3.9,1.34
13,Indian Wells,BNP Paribas Open,13/03/2026,WTA1000,Outdoor,Hard,Quarterfinals,3,Rybakina E.,Pegula J.,3,5,7253,6583,6,1,7,6,,,2,0,Completed,1.53,2.5,,,1.56,2.6,1.53,2.48,1.54,2.78
13,Indian Wells,BNP Paribas Open,13/03/2026,WTA1000,Outdoor,Hard,Semifinals,3,Sabalenka A.,Noskova L.,1,14,10675,2421,6,3,6,4,,,2,0,Completed,1.08,8,,,1.12,8.5,1.09,7.21,1.13,8
13,Indian Wells,BNP Paribas Open,14/03/2026,WTA1000,Outdoor,Hard,Semifinals,3,Rybakina E.,Svitolina E.,3,9,7253,3845,7,5,6,4,,,2,0,Completed,1.4,3,,,1.45,3.05,1.39,2.96,1.42,3.3
13,Indian Wells,BNP Paribas Open,15/03/2026,WTA1000,Outdoor,Hard,The Final,3,Sabalenka A.,Rybakina E.,1,3,10675,7253,3,6,6,3,7,6,2,1,Completed,1.62,2.3,,,1.65,2.35,1.62,2.28,1.68,2.44
